Center_Code,Segment
C350543,Housing
C350546,Housing
C350549,Housing
C350550,Housing
C350551,Housing
C350555,Housing
C350556,Housing
C350558,Housing
C350560,Housing
C350562,Housing
C350566,Housing
C350567,Housing
C350568,Housing
C350569,Housing
C350571,Housing
C350572,Housing
C350573,Housing
C350574,Housing
C350576,Housing
C350577,Housing
C350578,Housing
C350579,Housing
C350580,Housing
C350583,Housing
C350584,Housing
C350585,Housing
C350586,Housing
C350587,Housing
C350588,Housing
C350589,Housing
C350590,Housing
C350591,Housing
C350592,Housing
C350593,Housing
C350595,Housing
C350596,Housing
C350597,Housing
C350601,Housing
C350603,Housing
C350604,Housing
C350605,Housing
C350606,Housing
C350607,Housing
C350608,Housing
C350609,Housing
C350610,Housing
C350611,Housing
C350612,Housing
C350613,Housing
C350616,Housing
C350617,Housing
C350618,Housing
C350620,Housing
C350622,Housing
C350623,Housing
C350624,Housing
C350625,Housing
C350627,Housing
C350630,Housing
C350631,Housing
C350632,Housing
C350633,Housing
C350634,Housing
C350637,Housing
C350638,Housing
C350639,Housing
C350640,Housing
C350641,Housing
C350644,Housing
C350670,Housing
C350674,Housing
C350679,Housing
C350690,Housing
C350691,Housing
C350900,Housing
C380000,Lifestyle
C380001,Lifestyle
C380002,Lifestyle
C380003,Lifestyle
C380004,Lifestyle
C380005,Lifestyle
C380007,Lifestyle
C380009,Lifestyle
C380019,Lifestyle
C380100,Lifestyle
C380101,Lifestyle
C380102,Lifestyle
C380103,Lifestyle
C380104,Lifestyle
C385000,Lifestyle
C385002,Lifestyle
C385003,Lifestyle
C385005,Lifestyle
C390051,Lifestyle
C400000,Lifestyle
C400005,Lifestyle
C400010,Lifestyle
C400015,Lifestyle
C400020,Lifestyle
C400030,Lifestyle
C400051,Lifestyle
C400052,Lifestyle
C400054,Lifestyle
C400055,Lifestyle
C400056,Lifestyle
C400057,Lifestyle
C400060,Lifestyle
C400100,Lifestyle
C400101,Lifestyle
C400102,Lifestyle
C400103,Lifestyle
C400104,Lifestyle
C400105,Lifestyle
C400108,Lifestyle
C400150,Lifestyle
C400300,Lifestyle
C400302,Lifestyle
C400303,Lifestyle
C400305,Lifestyle
C500002,Lifestyle
C500358,Lifestyle
C500361,Lifestyle
C500364,Lifestyle
C500365,Lifestyle
C503001,Lifestyle
C503003,Lifestyle
C503005,Lifestyle
C503007,Lifestyle
C503008,Lifestyle
C503009,Lifestyle
C503010,Lifestyle
C503012,Lifestyle
C503014,Lifestyle
C503017,Lifestyle
C503018,Lifestyle
C503020,Lifestyle
C503021,Lifestyle
C503023,Lifestyle
C503038,Lifestyle
C503042,Lifestyle
C503044,Lifestyle
C503057,Lifestyle
C503058,Lifestyle
C505000,Lifestyle
C505002,Lifestyle
C505007,Lifestyle
C505010,Lifestyle
C505011,Lifestyle
C505013,Lifestyle
C505014,Lifestyle
C505015,Lifestyle
C505016,Lifestyle
C505018,Lifestyle
C505019,Lifestyle
C505020,Lifestyle
C505021,Lifestyle
C505022,Lifestyle
C505023,Lifestyle
C505024,Lifestyle
C505029,Lifestyle
C505030,Lifestyle
C505031,Lifestyle
C505033,Lifestyle
C505036,Lifestyle
C505037,Lifestyle
C505046,Lifestyle
C505052,Lifestyle
C505055,Lifestyle
C505058,Lifestyle
C505062,Lifestyle
C505063,Lifestyle
C505099,Lifestyle
C505101,Lifestyle
C505102,Lifestyle
C506000,Lifestyle
C506002,Lifestyle
C506003,Lifestyle
C506004,Lifestyle
C506005,Lifestyle
C506006,Lifestyle
C506008,Lifestyle
C506009,Lifestyle
C506010,Lifestyle
C506011,Lifestyle
C506013,Lifestyle
C506014,Lifestyle
C506016,Lifestyle
C506019,Lifestyle
C506020,Lifestyle
C506021,Lifestyle
C506023,Lifestyle
C506025,Lifestyle
C506026,Lifestyle
C506029,Lifestyle
C506033,Lifestyle
C509000,Lifestyle
C509500,Lifestyle
C510000,Lifestyle
C515000,Lifestyle
C515003,Lifestyle
C515005,Lifestyle
C515007,Lifestyle
C515008,Lifestyle
C515010,Lifestyle
C515011,Lifestyle
C515014,Lifestyle
C515017,Lifestyle
C515018,Lifestyle
C515019,Lifestyle
C515100,Lifestyle
C515101,Lifestyle
C515214,Housing
C515215,Housing
C515305,Lifestyle
C550000,Lifestyle
C550001,Lifestyle
C550002,Lifestyle
C550003,Lifestyle
C550004,Lifestyle
C550005,Lifestyle
C550006,Lifestyle
C550007,Lifestyle
C550008,Lifestyle
C550009,Lifestyle
C550024,Housing
C570001,Lifestyle
C570003,Lifestyle
C570004,Lifestyle
C570005,Lifestyle
C570006,Lifestyle
C570007,Lifestyle
C570009,Lifestyle
C570011,Lifestyle
C570012,Lifestyle
C570013,Lifestyle
C570016,Lifestyle
C590002,Lifestyle
C590003,Lifestyle
C590004,Lifestyle
C590005,Lifestyle
C590006,Lifestyle
C590007,Lifestyle
C590008,Lifestyle
C590009,Lifestyle
C590010,Lifestyle
C590011,Lifestyle
C590012,Lifestyle
C590013,Lifestyle
C590014,Lifestyle
C590015,Lifestyle
C590016,Lifestyle
C590031,Lifestyle
C610388,Corporate
C610400,Lifestyle
C610401,Corporate
C610402,Lifestyle
C610403,Lifestyle
C610404,Lifestyle
CI10170,Housing
CI10181,Lifestyle
CI10216,Corporate
CI10429,Lifestyle
CI10508,Corporate
CI10510,Corporate
CI20104,Corporate
CI20105,Corporate
CI20223,Corporate
CI20226,Corporate
CI20227,Corporate
CI20402,Corporate
CI20403,Corporate
CI38505,Lifestyle
CI40107,Lifestyle
CI50000,Lifestyle
CI50002,Lifestyle
CI53022,Corporate
CI56001,Lifestyle
CI57010,Lifestyle
C030400,Corporate
C044001,Housing
C090054,Housing
C252044,Housing
C380014,Lifestyle
C385006,Lifestyle
C385007,Lifestyle
C385008,Lifestyle
C385009,Lifestyle
C503061,Lifestyle
C505032,Lifestyle
C505104,Lifestyle
C506034,Lifestyle
C044003,Housing
C090055,Housing
C380018,Lifestyle
C505103,Lifestyle
C505105,Lifestyle
C400124,Lifestyle
C505100,Lifestyle
C500369,Lifestyle
C506072,Lifestyle
C506073,Lifestyle
C515046,Corporate
C100940,Corporate
C350120,Housing
C500370,Lifestyle
C505035,Lifestyle
C090056,Housing
C350600,Housing
C350619,Housing
C500371,Lifestyle
C503013,Lifestyle
C044005,Housing
C055215,Lifestyle
C350686,Housing
C400306,Lifestyle
C400307,Lifestyle
C400308,Lifestyle
C400309,Lifestyle
C400310,Lifestyle
C400311,Lifestyle
C400312,Lifestyle
C400313,Lifestyle
C500366,Lifestyle
C506017,Lifestyle
C350726,Housing
